Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
26,Q435,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,DOE - RESOA,FY22 RESO A BATHROOM UPGRADES,Construction,In-Progress,12/15/2023,DOER,,DOER,94580.00,0.00,DSF0001033906
26,Q435,MARTIN VAN BUREN HS - QUEENS,DOE - RESOA,FY22 RESO A ELECTRICAL UPGRADE,Construction,In-Progress,7/14/2023,DOER,,DOER,611001.00,0.00,DSF0001033923
26,Q435,Q177 SPED - QUEENS,DOE - RESOA,FY24 RESO A ROOM CONVERSION,Construction,In-Progress,10/31/2023,DOER,,DOER,124128.00,3039.00,DSF0001086535
26,Q435,MARTIN VAN BUREN HS - QUEENS,DOE - RESOA,FY24 RESO A WATER FOUNTAIN UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,56000.00,0.00,DSF0001086536
26,Q435,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,DOE - RESOA,FY25 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,400000.00,0.00,DSF0001113157
26,Q435,MARTIN VAN BUREN HS - QUEENS,DOE - Skilled Trades,CAFETERIA SERVING LINE,Construction,In-Progress,7/19/2023,DOES,,DOES,999430.00,0.00,DSF0000960860
26,Q461,Q000 - QUEENS,SCA IEH,PO18-SAFE ACCESS ABATEMENT,Construction,Complete,8/8/2024,IEH,8/20/2024,IEH,8239.00,0.00,SCA0000073266
26,Q469,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Scope,Complete,11/6/2023,2/8/2024,2/7/2024,5146,26758.00,26758.00,DSF0000888760
26,Q469,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Design,Complete,2/7/2024,6/24/2024,4/18/2024,23159,107026.00,107026.00,DSF0000888760
26,Q469,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Construction,PNS,PNS,PNS,PNS,298496,298496.00,22264.00,DSF0000888760
26,Q469,BENJAMIN N. CARDOZO HS - QUEENS,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,"CM,F&E",PNS,PNS,PNS,PNS,55325,55325.00,19364.00,DSF0000888760
26,Q566,"QNS HS OF TEACH., LIB. ARTS&SCI-Q",SCA CIP,ROOFS / PARAPETS / FIRE ALARM SYSTEM / EXTERIOR MASONRY,Scope,Complete,6/26/2023,12/22/2023,10/3/2023,148504,144417.00,131995.00,"DSF0001076533, DSF0001076534, DSF0001087220, DSF0001087219"
26,Q566,"QNS HS OF TEACH., LIB. ARTS&SCI-Q",SCA CIP,ROOFS / PARAPETS / FIRE ALARM SYSTEM / EXTERIOR MASONRY,Design,Complete,10/10/2023,6/10/2024,4/2/2024,735127,320329.00,320329.00,"DSF0001076533, DSF0001076534, DSF0001087220, DSF0001087219"
26,Q566,"QNS HS OF TEACH., LIB. ARTS&SCI-Q",SCA CIP,ROOFS / PARAPETS / FIRE ALARM SYSTEM / EXTERIOR MASONRY,Construction,In-Progress,9/23/2024,1/20/2027,,15900755,14111036.00,36.00,"DSF0001076533, DSF0001076534, DSF0001087220, DSF0001087219"
26,Q566,"QNS HS OF TEACH., LIB. ARTS&SCI-Q",SCA CIP,ROOFS / PARAPETS / FIRE ALARM SYSTEM / EXTERIOR MASONRY,"CM,F&E",In-Progress,9/23/2024,1/20/2027,,1094986,54486.00,54486.00,"DSF0001076533, DSF0001076534, DSF0001087220, DSF0001087219"
26,Q566,GLEN OAKS CAMPUS,SCA Emergency Response,SIDE WALK BRIDGING,Construction,In-Progress,1/9/2012,EMER,,EMER,,0.00,SCA0000019914
26,Q566,"QNS HS OF TEACH., LIB. ARTS&SCI-Q",DIIT - RESOA,FY15 RESO A IP SURVEILLANCE CAMERA,Purch & Install,PNS,PNS,PNS,PNS,DIIR,72495.00,0.00,DSF0000821794
26,Q566,"QNS HS OF TEACH., LIB. ARTS&SCI-Q",DIIT - RESOA,FY 15 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,39000.00,0.00,DSF0000821795
26,Q566,"QNS HS OF TEACH., LIB. ARTS&SCI-Q",DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,123000.00,0.00,DSF0001033329
26,Q566,"QNS HS OF TEACH., LIB. ARTS&SCI-Q",DOE - RESOA,FY24 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,10/31/2023,DOER,,DOER,56000.00,0.00,DSF0001086566
26,Q566,"QNS HS OF TEACH., LIB. ARTS&SCI-Q",DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,5/31/2024,DOES,6/7/2024,DOES,50832.00,,DSF0001085020
26,Q809,Q224 SPED - QUEENS,Fast Track Projects,LOCKER ROOM & BATHROOM UPGRADE,Construction,In-Progress,9/22/2022,FTK,,FTK,1770209.00,1733160.00,DSF0000960552
26,Q811,Q811 SPED - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,9/25/2015,1/25/2016,12/18/2015,83700,136933.00,126733.00,"DSF0000798374, DSF0000792110"
26,Q811,Q811 SPED - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,9/7/2016,2/10/2017,5/5/2017,334800,681337.00,665837.00,"DSF0000798374, DSF0000792110"
26,Q811,Q811 SPED - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,8/22/2017,11/19/2018,,6277500,7751386.00,6938111.00,"DSF0000798374, DSF0000792110"
26,Q811,Q811 SPED - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,8/22/2017,11/19/2018,,390600,891806.00,863418.00,"DSF0000798374, DSF0000792110"
26,Q811,Q811 SPED - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3/15/2023,7/14/2023,3/20/2023,3900,2239.00,2239.00,DSF0001034569
26,Q811,Q811 SPED - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,3/20/2023,9/13/2023,5/3/2023,17550,8954.00,8954.00,DSF0001034569
26,Q811,Q811 SPED - QUEENS,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,10/2/2023,7/27/2024,,226200,209126.00,2405.00,DSF0001034569
26,Q811,Q811 SPED - QUEENS,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,10/2/2023,7/27/2024,,91424,73841.00,20998.00,DSF0001034569
26,Q811,Q811 SPED - QUEENS,SCA Emergency Lighting,LL 41/16 COMPLIANCE,Scope,Complete,9/12/2003,9/12/2003,9/12/2003,720,515.00,515.00,DSF0000013154
26,Q811,Q811 SPED - QUEENS,SCA Emergency Lighting,LL 41/16 COMPLIANCE,Design,Complete,12/1/2004,5/15/2005,4/18/2005,2600,20145.00,20145.00,DSF0000013154
26,Q811,Q811 SPED - QUEENS,SCA Emergency Lighting,LL 41/16 COMPLIANCE,Construction,In-Progress,5/22/2006,5/31/2007,,77000,325018.00,310012.00,DSF0000013154
26,Q811,Q811 SPED - QUEENS,SCA Emergency Lighting,LL 41/16 COMPLIANCE,CM,In-Progress,5/22/2006,5/31/2007,,12240,92000.00,92000.00,DSF0000013154
26,Q811,Q811 SPED - QUEENS,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,162000.00,0.00,DSF0001086585
26,Q811,Q811 SPED - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,Complete,3/25/2020,DOES,9/24/2020,DOES,190933.00,192765.00,DSF0000881858
26,Q858,P.S. 188 - QUEENS,SCA IEH,PO18-SAFE ACCESS ABATEMENT,Construction,Complete,5/17/2024,IEH,6/1/2024,IEH,9862.00,716.00,SCA0000073019
26,QAPM,PS 23 @ HILLSIDE PSYCH - Q,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000.00,0.00,DSF0001008062
26,QAPM,PS 23 @ HILLSIDE PSYCH - Q,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,60000.00,0.00,DSF0001033737
26,QAPM,PS 23 @ HILLSIDE PSYCH - Q,DOE - RESOA,FY23 RESO A COMPUTER LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,400000.00,0.00,DSF0001036096
27,Q042,P.S. 42 - QUEENS,SCA CIP,SANDY:INTERIOR SPACES / HEATING PLANT / FLOOD ELIM / SANITARY / STORM PIPING / HVAC / ELEC SYS / NON-SANDY: CLIMATE CTRL / ELEC SYS,Scope,Complete,2/7/2014,7/10/2014,4/8/2014,251956,218691.00,218691.00,"DSF0000788302, DSF0000788296, DSF0000788293, DSF0000799428, DSF0000799439, DSF0000799438, DSF0000799608, DSF0000799919"
27,Q042,P.S. 42 - QUEENS,SCA CIP,SANDY:INTERIOR SPACES / HEATING PLANT / FLOOD ELIM / SANITARY / STORM PIPING / HVAC / ELEC SYS / NON-SANDY: CLIMATE CTRL / ELEC SYS,Design,Complete,4/8/2014,9/8/2014,9/11/2014,991112,1581649.00,1450071.00,"DSF0000788302, DSF0000788296, DSF0000788293, DSF0000799428, DSF0000799439, DSF0000799438, DSF0000799608, DSF0000799919"
27,Q042,P.S. 42 - QUEENS,SCA CIP,SANDY:INTERIOR SPACES / HEATING PLANT / FLOOD ELIM / SANITARY / STORM PIPING / HVAC / ELEC SYS / NON-SANDY: CLIMATE CTRL / ELEC SYS,Construction,In-Progress,1/6/2015,3/15/2017,,17083341,17440290.00,16168197.00,"DSF0000788302, DSF0000788296, DSF0000788293, DSF0000799428, DSF0000799439, DSF0000799438, DSF0000799608, DSF0000799919"
27,Q042,P.S. 42 - QUEENS,SCA CIP,SANDY:INTERIOR SPACES / HEATING PLANT / FLOOD ELIM / SANITARY / STORM PIPING / HVAC / ELEC SYS / NON-SANDY: CLIMATE CTRL / ELEC SYS,"CM,F&E",In-Progress,1/6/2015,3/15/2017,,1393945,4476053.00,4431178.00,"DSF0000788302, DSF0000788296, DSF0000788293, DSF0000799428, DSF0000799439, DSF0000799438, DSF0000799608, DSF0000799919"
27,Q042,P.S. 42 - QUEENS,SCA CIP,EXTERIOR MASONRY / WINDOWS / PARAPETS,Scope,Complete,3/12/2021,7/27/2021,9/1/2021,166231,167700.00,167700.00,"DSF0000960811, DSF0001034154, DSF0001034153"
27,Q042,P.S. 42 - QUEENS,SCA CIP,EXTERIOR MASONRY / WINDOWS / PARAPETS,Design,Complete,9/17/2021,2/23/2022,3/10/2022,824628,562834.00,544807.00,"DSF0000960811, DSF0001034154, DSF0001034153"
27,Q042,P.S. 42 - QUEENS,SCA CIP,EXTERIOR MASONRY / WINDOWS / PARAPETS,Construction,In-Progress,8/5/2022,8/3/2024,,17989111,16314265.00,4621407.00,"DSF0000960811, DSF0001034154, DSF0001034153"
27,Q042,P.S. 42 - QUEENS,SCA CIP,EXTERIOR MASONRY / WINDOWS / PARAPETS,"CM,F&E",In-Progress,8/5/2022,8/3/2024,,1212610,312053.00,286927.00,"DSF0000960811, DSF0001034154, DSF0001034153"
27,Q042,P.S. 42 - QUEENS,SCA CIP RESOA,FY25 RESO A AUDITORIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001112956
27,Q042,P.S. 42 - QUEENS,SCA CIP RESOA,FY25 RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,51000,51000.00,0.00,DSF0001112956
27,Q042,P.S. 42 - QUEENS,SCA CIP RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,748000,748000.00,0.00,DSF0001112956
27,Q042,P.S. 42 - QUEENS,SCA CIP RESOA,FY25 RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,51000,51000.00,0.00,DSF0001112956
27,Q042,P.S. 42 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113629
27,Q042,P.S. 42 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113629
27,Q042,P.S. 42 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113629
27,Q042,P.S. 42 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113629
27,Q042,P.S. 42 - QUEENS,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,12/14/2021,EMER,,EMER,39945.00,27215.00,SCA0000070728
27,Q042,P.S. 42 - QUEENS,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,250000.00,0.00,DSF0001033258
27,Q042,P.S. 42 - QUEENS,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,52000.00,0.00,DSF0001035331
27,Q042,Q233 SPED - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,110000.00,0.00,DSF0001112957
27,Q042,P.S. 42 - QUEENS,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,6/24/2024,DOES,,DOES,65832.00,0.00,DSF0001084651
27,Q043,P.S. 43 - QUEENS,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Scope,Complete,7/31/2018,10/30/2018,12/12/2018,17685,39477.00,39477.00,DSF0000888907
27,Q043,P.S. 43 - QUEENS,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Design,Complete,1/7/2019,5/29/2019,5/17/2019,70740,143998.00,143070.00,DSF0000888907
27,Q043,P.S. 43 - QUEENS,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,Construction,In-Progress,12/18/2019,12/16/2020,,1326375,1613648.00,831310.00,DSF0000888907
27,Q043,P.S. 43 - QUEENS,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,"CM,F&E",In-Progress,12/18/2019,12/16/2020,,82530,324161.00,322096.00,DSF0000888907
27,Q043,P.S. 43 - QUEENS,SCA CIP,AIR CONDITIONING SPLIT SYSTEM / WINDOWS / CLIMATE CONTROL / EXTERIOR MASONRY,Scope,Complete,8/30/2019,1/21/2020,10/27/2021,140840,193990.00,193990.00,"DSF0000912916, DSF0000912917, DSF0000995406, DSF0001021181"
27,Q043,P.S. 43 - QUEENS,SCA CIP,AIR CONDITIONING SPLIT SYSTEM / WINDOWS / CLIMATE CONTROL / EXTERIOR MASONRY,Design,Complete,11/5/2021,4/12/2022,5/5/2022,704200,539644.00,475909.00,"DSF0000912916, DSF0000912917, DSF0000995406, DSF0001021181"
27,Q043,P.S. 43 - QUEENS,SCA CIP,AIR CONDITIONING SPLIT SYSTEM / WINDOWS / CLIMATE CONTROL / EXTERIOR MASONRY,Construction,In-Progress,8/15/2022,5/5/2024,,15844499,14366040.00,11523649.00,"DSF0000912916, DSF0000912917, DSF0000995406, DSF0001021181"
27,Q043,P.S. 43 - QUEENS,SCA CIP,AIR CONDITIONING SPLIT SYSTEM / WINDOWS / CLIMATE CONTROL / EXTERIOR MASONRY,"CM,F&E",In-Progress,8/15/2022,5/5/2024,,987109,330273.00,291385.00,"DSF0000912916, DSF0000912917, DSF0000995406, DSF0001021181"
27,Q043,P.S. 43 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001033749
27,Q043,P.S. 43 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001033749
27,Q043,P.S. 43 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001033749
27,Q043,P.S. 43 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001033749
27,Q043,P.S. 43 - QUEENS,SCA CIP RESOA,FY22 RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,3354.00,214.00,DSF0001033750
27,Q043,P.S. 43 - QUEENS,SCA CIP RESOA,FY22 RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,45000,41646.00,855.00,DSF0001033750
27,Q043,P.S. 43 - QUEENS,SCA CIP RESOA,FY22 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,660000,660000.00,0.00,DSF0001033750
27,Q043,P.S. 43 - QUEENS,SCA CIP RESOA,FY22 RESO A GYMNASIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,45000,45000.00,0.00,DSF0001033750
27,Q043,P.S. 43 - QUEENS,SCA Furniture & Equipment,FY25 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,350000,350000.00,0.00,DSF0001112959
27,Q043,P.S. 43 - QUEENS,Fast Track Projects,EMERGENCY PROTECTIVE MEASURES - HURRICANE SANDY,Construction,In-Progress,10/31/2012,FTK,,FTK,1882053.00,1882052.00,SCA0000023487
27,Q043,Q256 SPED - QUEENS,DIIT - Project Connect,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,11/1/2019,DIIT,,DIIT,345295.00,0.00,DSF0000960088
27,Q043,Q256 SPED - QUEENS,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001033303
27,Q043,Q256 SPED - QUEENS,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,230000.00,0.00,DSF0001035822
27,Q043,P.S. 43 - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,334000.00,0.00,DSF0001112958
27,Q043,P.S. 43 - QUEENS,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,5/6/2024,DOES,5/13/2024,DOES,50832.00,,DSF0001084652
27,Q043,P.S. 43 - QUEENS,DOE - Skilled Trades,ELEVATOR PISTON REPLACEMENT,Construction,In-Progress,8/18/2023,DOES,,DOES,266915.00,123691.00,DSF0001071947
27,Q045,P.S. 45 - QUEENS,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,10/17/2018,3/7/2019,2/20/2019,182490,114694.00,114694.00,"DSF0000878240, DSF0000878242, DSF0000878243, DSF0000878244"
27,Q045,P.S. 45 - QUEENS,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,2/20/2019,7/22/2019,5/10/2019,729960,679654.00,580970.00,"DSF0000878240, DSF0000878242, DSF0000878243, DSF0000878244"
27,Q045,P.S. 45 - QUEENS,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,8/5/2019,8/3/2021,,13686750,13345131.00,10664910.00,"DSF0000878240, DSF0000878242, DSF0000878243, DSF0000878244"
27,Q045,P.S. 45 - QUEENS,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,8/5/2019,8/3/2021,,851621,1550142.00,1512855.00,"DSF0000878240, DSF0000878242, DSF0000878243, DSF0000878244"
27,Q045,P.S. 45 - QUEENS,DOE - RESOA,FY21 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,500000.00,0.00,DSF0000961431
27,Q045,P.S. 45 - QUEENS,DOE - RESOA,FY25 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,175000.00,0.00,DSF0001112960
27,Q045,P.S. 45 - QUEENS,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,5/20/2024,DOES,5/23/2024,DOES,65832.00,6605.00,DSF0001084286
27,Q047,P.S. 47 - QUEENS,Fast Track Projects,FIRE ALARM REPLACEMENT,Construction,In-Progress,6/24/2019,FTK,,FTK,2868508.00,2589036.00,SCA0000054628
27,Q047,P.S. 47 - QUEENS,DOE - Skilled Trades,GYM PARTITION,Construction,In-Progress,3/11/2019,DOES,,DOES,43302.00,0.00,DSF0000911942
27,Q051,P.S. 51 - QUEENS,SCA CIP,C OF O,Scope,Complete,6/7/2021,9/10/2021,11/1/2021,7920,27204.00,27204.00,DSF0001008810
27,Q051,P.S. 51 - QUEENS,SCA CIP,C OF O,Design,Complete,12/22/2021,6/16/2022,10/13/2022,35640,54321.00,44720.00,DSF0001008810
27,Q051,P.S. 51 - QUEENS,SCA CIP,C OF O,Construction,Complete,2/6/2023,12/2/2023,11/29/2023,459360,414765.00,355588.00,DSF0001008810
27,Q051,P.S. 51 - QUEENS,SCA CIP,C OF O,"CM,F&E",Complete,2/6/2023,12/2/2023,11/29/2023,85140,64731.00,63914.00,DSF0001008810
27,Q051,P.S. 51 - QUEENS,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,12/20/2023,DIIR,4/16/2024,DIIR,50000.00,50000.00,DSF0001035332
27,Q051,P.S. 51 - QUEENS,DOE - RESOA,FY24 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,200000.00,0.00,DSF0001086365
27,Q051,P.S. 51 - QUEENS,DOE - Skilled Trades,HOT WATER HEATER REPLACEMENT,Construction,In-Progress,7/11/2024,DOES,,DOES,75560.00,0.00,DSF0001099784
27,Q053,I.S. 53 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,10/3/2018,3/11/2019,1/14/2019,141298,141108.00,141108.00,"DSF0000890601, DSF0000878359"
27,Q053,I.S. 53 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,1/30/2019,7/1/2019,5/15/2019,608905,661166.00,644194.00,"DSF0000890601, DSF0000878359"
27,Q053,I.S. 53 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,7/15/2019,7/13/2021,,12236625,11118590.00,10408638.00,"DSF0000890601, DSF0000878359"
27,Q053,I.S. 53 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,7/15/2019,7/13/2021,,761390,1259846.00,1257760.00,"DSF0000890601, DSF0000878359"
27,Q053,I.S. 53 - QUEENS,SCA CIP,WALK-IN REFRIGERTAORS AND FREEZERS,Scope,Complete,6/23/2023,10/23/2023,9/25/2023,11669,15501.00,15501.00,DSF0001083810
27,Q053,I.S. 53 - QUEENS,SCA CIP,WALK-IN REFRIGERTAORS AND FREEZERS,Design,Complete,10/2/2023,3/1/2024,2/7/2024,52511,45806.00,43297.00,DSF0001083810
27,Q053,I.S. 53 - QUEENS,SCA CIP,WALK-IN REFRIGERTAORS AND FREEZERS,Construction,PNS,PNS,PNS,PNS,676811,676811.00,8590.00,DSF0001083810
27,Q053,I.S. 53 - QUEENS,SCA CIP,WALK-IN REFRIGERTAORS AND FREEZERS,"CM,F&E",PNS,PNS,PNS,PNS,125443,125443.00,19446.00,DSF0001083810
27,Q053,I.S. 53 - QUEENS,SCA CIP,AUDITORIUM UPGRADE / PATH OF TRAVEL AUDITORIUM SEATING,Scope,Complete,6/24/2021,1/12/2022,1/20/2022,15933,21058.00,21058.00,"DSF0000995568, DSF0001009311"
27,Q053,I.S. 53 - QUEENS,SCA CIP,AUDITORIUM UPGRADE / PATH OF TRAVEL AUDITORIUM SEATING,Design,Complete,1/21/2022,5/23/2022,4/11/2022,79562,74014.00,74014.00,"DSF0000995568, DSF0001009311"
27,Q053,I.S. 53 - QUEENS,SCA CIP,AUDITORIUM UPGRADE / PATH OF TRAVEL AUDITORIUM SEATING,Construction,In-Progress,7/20/2023,7/18/2024,,1781235,1620530.00,1225494.00,"DSF0000995568, DSF0001009311"
27,Q053,I.S. 53 - QUEENS,SCA CIP,AUDITORIUM UPGRADE / PATH OF TRAVEL AUDITORIUM SEATING,"CM,F&E",In-Progress,7/20/2023,7/18/2024,,112302,105648.00,83651.00,"DSF0000995568, DSF0001009311"
27,Q053,I.S. 319 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A ROOM CONVERSION,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001033907
27,Q053,I.S. 319 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A ROOM CONVERSION,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001033907
27,Q053,I.S. 319 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001033907
27,Q053,I.S. 319 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A ROOM CONVERSION,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001033907
27,Q053,I.S. 53 - QUEENS,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001112964
27,Q053,I.S. 53 - QUEENS,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,72000,72000.00,0.00,DSF0001112964
27,Q053,I.S. 53 - QUEENS,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,1056000,1056000.00,0.00,DSF0001112964
27,Q053,I.S. 53 - QUEENS,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,72000,72000.00,0.00,DSF0001112964
27,Q053,I.S. 53 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113631
27,Q053,I.S. 53 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113631
27,Q053,I.S. 53 - QUEENS,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113631
